"";"id1";"id2";"tradeno";"bid1";"bid2";"payoff1";"payoff2"
"1";1;2;1;"cooperate";"cooperate";4;4
"2";7;4;2;"defect";"defect";2;2
"3";6;3;3;"defect";"cooperate";5;0
"4";8;5;4;"cooperate";"cooperate";4;4
"5";8;3;5;"cooperate";"cooperate";4;4
"6";5;6;6;"cooperate";"defect";0;5
"7";1;2;7;"cooperate";"cooperate";4;4
"8";4;7;8;"defect";"defect";2;2
"9";4;1;9;"defect";"cooperate";5;0
"10";3;5;10;"cooperate";"cooperate";4;4
"11";2;8;11;"cooperate";"cooperate";4;4
"12";6;7;12;"defect";"defect";2;2
"13";2;6;13;"cooperate";"defect";0;5
"14";5;4;14;"cooperate";"defect";0;5
"15";1;3;15;"cooperate";"cooperate";4;4
"16";7;8;16;"defect";"cooperate";5;0
"17";6;8;17;"defect";"cooperate";5;0
"18";4;3;18;"defect";"cooperate";5;0
"19";7;1;19;"defect";"cooperate";5;0
"20";5;2;20;"cooperate";"cooperate";4;4
"21";6;4;21;"defect";"defect";2;2
"22";8;3;22;"cooperate";"cooperate";4;4
"23";1;7;23;"cooperate";"defect";0;5
"24";5;2;24;"cooperate";"cooperate";4;4
"25";5;8;25;"cooperate";"cooperate";4;4
"26";3;7;26;"cooperate";"defect";0;5
"27";2;4;27;"cooperate";"defect";0;5
"28";1;6;28;"cooperate";"defect";0;5
"29";3;4;29;"defect";"defect";2;2
"30";5;1;30;"cooperate";"cooperate";4;4
"31";7;2;31;"defect";"cooperate";5;0
"32";8;6;32;"defect";"defect";2;2
"33";3;4;33;"defect";"defect";2;2
"34";6;5;34;"defect";"defect";2;2
"35";2;8;35;"cooperate";"cooperate";4;4
"36";7;1;36;"defect";"cooperate";5;0
"37";6;3;37;"defect";"defect";2;2
"38";2;4;38;"defect";"defect";2;2
"39";1;7;39;"cooperate";"defect";0;5
"40";5;8;40;"cooperate";"cooperate";4;4
"41";2;8;41;"cooperate";"cooperate";4;4
"42";1;4;42;"cooperate";"defect";0;5
"43";5;3;43;"cooperate";"cooperate";4;4
"44";7;6;44;"defect";"defect";2;2
"45";4;6;45;"defect";"defect";2;2
"46";8;7;46;"defect";"defect";2;2
"47";2;1;47;"cooperate";"cooperate";4;4
"48";5;3;48;"cooperate";"cooperate";4;4
"49";2;1;49;"cooperate";"cooperate";4;4
"50";3;5;50;"cooperate";"cooperate";4;4
"51";6;4;51;"defect";"defect";2;2
"52";8;7;52;"defect";"defect";2;2
"53";4;2;53;"defect";"defect";2;2
"54";1;8;54;"cooperate";"cooperate";4;4
"55";6;7;55;"defect";"defect";2;2
"56";3;5;56;"cooperate";"cooperate";4;4
"57";4;8;57;"defect";"cooperate";5;0
"58";2;7;58;"defect";"defect";2;2
"59";6;5;59;"defect";"defect";2;2
"60";1;3;60;"cooperate";"cooperate";4;4
"61";5;8;61;"cooperate";"cooperate";4;4
"62";1;6;62;"cooperate";"defect";0;5
"63";3;4;63;"defect";"defect";2;2
"64";2;7;64;"defect";"defect";2;2
"65";5;7;65;"cooperate";"defect";0;5
"66";4;6;66;"defect";"defect";2;2
"67";3;1;67;"cooperate";"cooperate";4;4
"68";8;2;68;"cooperate";"cooperate";4;4
"69";4;2;69;"defect";"defect";2;2
"70";5;1;70;"cooperate";"cooperate";4;4
"71";8;7;71;"defect";"defect";2;2
"72";3;6;72;"defect";"defect";2;2
"73";4;8;73;"defect";"defect";2;2
"74";2;3;74;"cooperate";"cooperate";4;4
"75";1;7;75;"cooperate";"defect";0;5
"76";5;6;76;"defect";"defect";2;2
"77";8;4;77;"defect";"defect";2;2
"78";5;6;78;"defect";"defect";2;2
"79";2;1;79;"cooperate";"cooperate";4;4
"80";3;7;80;"defect";"defect";2;2
"81";3;5;81;"cooperate";"cooperate";4;4
"82";6;7;82;"defect";"defect";2;2
"83";2;4;83;"defect";"defect";2;2
"84";8;1;84;"cooperate";"cooperate";4;4
"85";6;5;85;"defect";"defect";2;2
"86";8;2;86;"cooperate";"cooperate";4;4
"87";1;3;87;"cooperate";"cooperate";4;4
"88";7;4;88;"defect";"defect";2;2
"89";2;6;89;"defect";"defect";2;2
"90";5;7;90;"defect";"defect";2;2
"91";3;4;91;"defect";"defect";2;2
"92";1;8;92;"cooperate";"cooperate";4;4
"93";8;2;93;"cooperate";"cooperate";4;4
"94";4;1;94;"defect";"cooperate";5;0
"95";6;5;95;"defect";"defect";2;2
"96";7;3;96;"defect";"defect";2;2
"97";2;4;97;"defect";"defect";2;2
"98";8;1;98;"cooperate";"cooperate";4;4
"99";3;6;99;"defect";"defect";2;2
"100";5;7;100;"defect";"defect";2;2
"101";6;7;101;"defect";"defect";2;2
"102";1;4;102;"cooperate";"cooperate";4;4
"103";5;3;103;"cooperate";"cooperate";4;4
"104";8;2;104;"cooperate";"cooperate";4;4
"105";8;7;105;"defect";"defect";2;2
"106";3;2;106;"cooperate";"cooperate";4;4
"107";1;4;107;"cooperate";"defect";0;5
"108";5;6;108;"defect";"defect";2;2
"109";5;2;109;"cooperate";"cooperate";4;4
"110";1;3;110;"cooperate";"cooperate";4;4
"111";4;7;111;"defect";"defect";2;2
"112";6;8;112;"defect";"defect";2;2
"113";6;3;113;"defect";"defect";2;2
"114";5;4;114;"defect";"defect";2;2
"115";7;2;115;"defect";"defect";2;2
"116";1;8;116;"cooperate";"cooperate";4;4
"117";5;7;117;"defect";"defect";2;2
"118";1;3;118;"cooperate";"cooperate";4;4
"119";6;2;119;"defect";"defect";2;2
"120";4;8;120;"defect";"defect";2;2
"121";8;6;121;"defect";"defect";2;2
"122";7;3;122;"defect";"defect";2;2
"123";5;2;123;"cooperate";"cooperate";4;4
"124";1;4;124;"cooperate";"defect";0;5
"125";4;3;125;"defect";"defect";2;2
"126";6;7;126;"defect";"defect";2;2
"127";2;1;127;"cooperate";"cooperate";4;4
"128";8;5;128;"cooperate";"cooperate";4;4
"129";2;1;129;"cooperate";"cooperate";4;4
"130";5;4;130;"defect";"defect";2;2
"131";7;6;131;"defect";"defect";2;2
"132";3;8;132;"cooperate";"cooperate";4;4
"133";2;3;133;"cooperate";"cooperate";4;4
"134";8;6;134;"defect";"defect";2;2
"135";1;5;135;"cooperate";"cooperate";4;4
"136";7;4;136;"defect";"defect";2;2
"137";5;7;137;"defect";"defect";2;2
"138";3;1;138;"cooperate";"cooperate";4;4
"139";8;4;139;"defect";"defect";2;2
"140";6;2;140;"defect";"defect";2;2
"141";2;8;141;"cooperate";"cooperate";4;4
"142";1;5;142;"cooperate";"cooperate";4;4
"143";7;4;143;"defect";"defect";2;2
"144";3;6;144;"defect";"defect";2;2
"145";1;8;145;"cooperate";"cooperate";4;4
"146";6;4;146;"defect";"defect";2;2
"147";7;2;147;"defect";"defect";2;2
"148";5;3;148;"cooperate";"cooperate";4;4
"149";8;2;149;"cooperate";"cooperate";4;4
"150";5;1;150;"cooperate";"cooperate";4;4
"151";7;6;151;"defect";"defect";2;2
"152";3;4;152;"defect";"defect";2;2
"153";6;2;153;"defect";"defect";2;2
"154";3;1;154;"cooperate";"cooperate";4;4
"155";7;8;155;"defect";"defect";2;2
"156";4;5;156;"defect";"defect";2;2
"157";3;8;157;"cooperate";"cooperate";4;4
"158";6;5;158;"defect";"defect";2;2
"159";4;7;159;"defect";"defect";2;2
"160";2;1;160;"cooperate";"cooperate";4;4
"161";7;8;161;"defect";"defect";2;2
"162";2;6;162;"defect";"defect";2;2
"163";4;1;163;"defect";"cooperate";5;0
"164";3;5;164;"cooperate";"cooperate";4;4
"165";2;5;165;"cooperate";"cooperate";4;4
"166";6;7;166;"defect";"defect";2;2
"167";1;8;167;"cooperate";"cooperate";4;4
"168";4;3;168;"defect";"defect";2;2
"169";3;4;169;"defect";"defect";2;2
"170";2;6;170;"defect";"defect";2;2
"171";8;5;171;"cooperate";"cooperate";4;4
"172";1;7;172;"cooperate";"defect";0;5
