round,id1,id2,bid1,bid2
1,4,17,defect,cooperate
2,6,7,cooperate,cooperate
3,15,16,cooperate,cooperate
4,1,3,cooperate,cooperate
5,14,23,cooperate,defect
6,10,24,cooperate,defect
7,12,20,defect,cooperate
8,8,19,cooperate,cooperate
9,11,2,defect,cooperate
10,22,21,cooperate,cooperate
11,9,13,cooperate,cooperate
12,5,18,defect,cooperate
13,12,15,defect,defect
14,11,7,defect,defect
15,10,6,cooperate,cooperate
16,4,16,defect,cooperate
17,14,19,cooperate,cooperate
18,9,21,cooperate,cooperate
19,1,20,cooperate,cooperate
20,2,23,cooperate,defect
21,22,8,cooperate,cooperate
22,17,5,cooperate,defect
23,24,13,defect,cooperate
24,3,18,cooperate,cooperate
25,24,16,defect,defect
26,18,5,defect,defect
27,22,15,defect,defect
28,1,7,cooperate,cooperate
29,20,19,cooperate,cooperate
30,23,12,defect,defect
31,2,9,cooperate,cooperate
32,10,4,defect,defect
33,6,17,cooperate,cooperate
34,13,11,cooperate,cooperate
35,8,21,cooperate,cooperate
36,14,3,cooperate,cooperate
37,6,7,cooperate,cooperate
38,10,9,cooperate,cooperate
39,18,12,defect,defect
40,19,17,cooperate,cooperate
41,21,3,cooperate,cooperate
42,2,14,cooperate,cooperate
43,15,24,defect,defect
44,22,16,cooperate,cooperate
45,13,11,cooperate,cooperate
46,20,23,cooperate,defect
47,1,8,cooperate,cooperate
48,5,4,defect,defect
49,16,11,defect,defect
50,8,13,cooperate,cooperate
51,7,22,defect,cooperate
52,1,23,cooperate,defect
53,12,21,defect,cooperate
54,5,20,defect,cooperate
55,6,10,cooperate,cooperate
56,19,14,cooperate,cooperate
57,4,15,defect,defect
58,18,9,cooperate,cooperate
59,24,17,defect,cooperate
60,3,2,cooperate,cooperate
61,1,3,cooperate,cooperate
62,10,23,defect,defect
63,7,16,defect,defect
64,13,2,cooperate,cooperate
65,24,11,defect,defect
66,18,14,cooperate,cooperate
67,12,9,defect,cooperate
68,5,4,defect,defect
69,21,22,cooperate,cooperate
70,15,20,defect,cooperate
71,19,8,cooperate,cooperate
72,6,17,cooperate,cooperate
73,6,3,cooperate,cooperate
74,15,23,defect,defect
75,5,12,defect,defect
76,21,13,cooperate,cooperate
77,22,10,cooperate,cooperate
78,8,1,cooperate,cooperate
79,9,20,cooperate,cooperate
80,14,11,cooperate,defect
81,18,4,defect,defect
82,7,19,cooperate,cooperate
83,2,24,cooperate,cooperate
84,17,16,cooperate,defect
85,7,18,defect,cooperate
86,4,23,defect,defect
87,6,19,cooperate,cooperate
88,2,20,cooperate,cooperate
89,24,10,defect,cooperate
90,22,1,cooperate,cooperate
91,11,9,defect,cooperate
92,12,16,defect,defect
93,8,17,defect,cooperate
94,3,13,cooperate,cooperate
95,15,5,defect,defect
96,14,21,cooperate,cooperate
97,6,7,cooperate,cooperate
98,19,4,cooperate,defect
99,9,21,defect,cooperate
100,23,17,defect,cooperate
101,11,5,cooperate,defect
102,3,8,cooperate,defect
103,10,18,cooperate,cooperate
